Speed (m/s),Stopping Distance(m),Stopping Distance 2(m)
0.1,4.428252211,0.198906364
0.6,6.496790729,1.221495163
1.1,8.660351712,2.374063467
1.6,10.91272304,3.636918307
2.1,13.24877306,4.999039998
2.6,15.66416786,6.453257782
3.1,18.15518662,7.993865661
3.6,20.71858729,9.616116327
4.1,23.34999192,11.31597184
4.6,26.03996417,13.08993836
5.1,28.78320539,14.93495826
5.6,31.57296158,16.8434943
6.1,34.4024664,18.80822129
6.6,37.26558299,20.82325478
7.1,40.15691067,22.88170411
7.6,43.07173674,24.97704905
8.1,46.00593415,27.10348579
8.6,48.95588188,29.25593343
9.1,51.91839039,31.42995575
9.6,54.89063208,33.62166225
10.1,57.87009988,35.82763361
10.6,60.85455008,38.04485081
11.1,63.84198866,40.27064086
11.6,67.00060745,42.50261211
12.1,70.53618988,44.73863669
12.6,74.25428177,46.99861416
13.1,78.0246382,49.59610365
13.6,81.8217826,52.48741861
14.1,85.66298434,55.48779433
14.6,89.56610635,58.51930538
15.1,93.54004882,61.58360865
15.6,97.58723161,64.70099226
16.1,101.7073298,67.88536464
16.6,105.8995204,71.1422074
17.1,110.1632712,74.472304
17.6,114.4983946,77.87493343
18.1,118.9048738,81.34936892
18.6,123.3827361,84.89525198
19.1,127.9320138,88.51248226
19.6,132.552724,92.20107389
20.1,137.2448646,95.96107042
20.6,142.0084309,99.79249381
21.1,146.8434304,103.6953453
21.6,151.749862,107.6696282
22.1,156.7277189,111.715345
22.6,161.7770038,115.8324891
23.1,166.8977208,120.0210566
23.6,172.0898646,124.281056
24.1,177.3534317,128.6124873
24.6,182.688431,133.0153439
25.1,188.0948622,137.4896288
25.6,193.5727189,142.0353457
26.1,199.1220038,146.6524896
26.6,204.7427207,151.3410567
27.1,210.4348646,156.101056
27.6,216.1984317,160.9324873
28.1,222.033431,165.8353439
28.6,227.9398623,170.8096288
29.1,233.9177189,175.8553457
29.6,239.9670038,180.9724896
30.1,246.0877207,186.1610567
30.6,252.2798646,191.421056
31.1,258.5434317,196.7524873
31.6,264.878431,202.1553439
32.1,271.2848623,207.6296288
32.6,277.7627189,213.1753457
33.1,284.3120038,218.7924896
33.6,290.9327207,224.4810567
34.1,297.6248646,230.241056
34.6,304.3884317,236.0724873
35.1,311.223431,241.9753439
35.6,318.1298623,247.9496288
36.1,325.1077189,253.9953457
36.6,332.1570038,260.1124896
37.1,339.2777207,266.3010567
37.6,346.4698646,272.561056
38.1,353.7334317,278.8924873
38.6,361.068431,285.2953439
39.1,368.4748623,291.7696288
39.6,375.9527189,298.3153457
40.1,383.5020038,304.9324896
40.6,391.1227207,311.6210567
41.1,398.8148646,318.381056
41.6,406.5784317,325.2124873
42.1,414.413431,332.1153439
42.6,422.3198623,339.0896288
43.1,430.2977189,346.1353457
43.6,438.3470038,353.2524896
44.1,446.4677207,360.4410567
44.6,454.6598646,367.701056
45.1,462.9234317,375.0324873
45.6,471.258431,382.4353439
46.1,479.6648623,389.9096288
46.6,488.1427189,397.4553457
47.1,496.6920038,405.0724896
47.6,505.3127207,412.7610567
48.1,514.0048646,420.521056
48.6,522.7684317,428.3524873
49.1,531.603431,436.2553439
49.6,540.5098623,444.2296288
50.1,549.4877189,452.2753457
50.6,558.5370038,460.3924896
51.1,567.6577207,468.5810567
51.6,576.8498646,476.841056
52.1,586.1134317,485.1724873
52.6,595.448431,493.5753439
53.1,604.8548623,502.0496288
53.6,614.3327189,510.5953457
54.1,623.8820038,519.2124896
54.6,633.5027207,527.9010567
55.1,643.1948646,536.661056
55.6,652.9584317,545.4924873
56.1,662.793431,554.3953439
56.6,672.6998623,563.3696288
57.1,682.6777189,572.4153457
57.6,692.7270038,581.5324896
58.1,702.8477207,590.7210567
58.6,713.0398646,599.981056
59.1,723.3034317,609.3124873
59.6,733.638431,618.7153439
60.1,744.0448623,628.1896288
60.6,754.5227189,637.7353457
61.1,765.0720038,647.3524896
61.6,775.6927207,657.0410567
62.1,786.3848646,666.801056
62.6,797.1484317,676.6324873
63.1,807.983431,686.5353439
63.6,818.8898623,696.5096288
64.1,829.8677189,706.5553457
64.6,840.9170038,716.6724896
65.1,852.0377207,726.8610567
65.6,863.2298646,737.121056
66.1,874.4934317,747.4524873
66.6,885.828431,757.8553439
67.1,897.2348623,768.3296288
67.6,908.7127189,778.8753457
68.1,920.2620038,789.4924896
68.6,931.8827207,800.1810567
69.1,943.5748646,810.941056
69.6,955.3384317,821.7724873
